,champion,gid,lane,pid,queue,role,season,timestamp
0,141,3103234489,MID,KR,450,NONE,11,1517924476801
1,23,3103222680,MID,KR,450,NONE,11,1517923398753
2,22,3103186550,MID,KR,450,NONE,11,1517922200418
3,164,3103170562,JUNGLE,KR,440,NONE,11,1517919988867
4,164,3103141775,JUNGLE,KR,440,NONE,11,1517918368616
5,13,3102307730,MID,KR,420,SOLO,11,1517847850404
6,18,3102301233,BOTTOM,KR,420,DUO_CARRY,11,1517844646545
7,96,3102235273,BOTTOM,KR,420,DUO,11,1517842388856
8,36,3099658746,JUNGLE,KR,420,NONE,11,1517659796582
9,56,3099589903,JUNGLE,KR,420,NONE,11,1517657188625
10,21,3097401497,BOTTOM,KR,430,DUO_CARRY,11,1517489049034
11,21,3093082588,BOTTOM,KR,440,DUO_CARRY,11,1517131222468
12,21,3093073242,BOTTOM,KR,440,DUO_CARRY,11,1517128994631
13,18,3092983470,BOTTOM,KR,440,DUO_CARRY,11,1517125778973
14,18,3092976126,BOTTOM,KR,440,DUO_CARRY,11,1517124359323
15,21,3092917951,BOTTOM,KR,440,DUO_CARRY,11,1517122084004
16,21,3092818800,BOTTOM,KR,430,DUO_CARRY,11,1517119407426
17,18,3092198974,BOTTOM,KR,440,DUO_CARRY,11,1517069845835
18,21,3092188914,BOTTOM,KR,440,DUO_CARRY,11,1517067243807
19,126,3092154406,TOP,KR,440,SOLO,11,1517065494801
20,126,3092107244,MID,KR,440,SOLO,11,1517063470201
21,3,3092048942,MID,KR,440,SOLO,11,1517061117240
22,3,3092040897,MID,KR,440,SOLO,11,1517058997203
23,3,3090882410,MID,KR,440,SOLO,11,1516976683502
24,3,3090830244,MID,KR,440,SOLO,11,1516973336150
25,99,3090775099,MID,KR,440,SOLO,11,1516971851192
26,99,3090738769,MID,KR,440,DUO_CARRY,11,1516970140158
27,99,3090668391,TOP,KR,430,SOLO,11,1516966906085
28,99,3090662158,MID,KR,430,SOLO,11,1516964930836
