,nounFrame,Freq,label,비고
1,비트코인,96990,,
2,화폐,11695,,
3,가상,9627,,가상화폐
4,거래소,5285,,
5,사람,4795,,
6,코인,4347,,
7,가격,4051,,
8,정부,3959,,
9,거래,3833,,
10,암호화폐,3807,,
11,지금,3794,,
12,블록체인,3659,,
13,이더리움,3620,,
14,규제,3308,neg,
15,주식,2862,,
16,시세,2837,,
17,투자,2823,-,
18,투기,2550,neg,
19,채굴,2480,,
20,한국,2471,,
21,리플,2461,,
22,미국,2333,,
23,그것,2328,,
24,빗썸,2318,,
25,오늘,2269,,
26,시장,2190,,
27,이것,2187,,
28,뉴스,2132,,
29,기술,1995,,
30,무엇,1839,,
31,가치,1818,-,
32,세계,1745,,
33,달러,1704,,
34,비트코인캐시,1686,,
35,생각,1647,,
36,가즈아,1559,pos,
37,시간,1547,,
38,이유,1540,,
39,폭락,1523,neg,
40,해외,1473,,
41,라이트코인,1432,,
42,선물,1392,,
43,정도,1356,,
44,퀀텀,1346,,
45,문제,1334,,
46,사기,1322,neg,
47,중국,1312,,
48,누구,1281,,
49,금융,1280,,
50,우리,1278,,
51,경제,1269,,
52,도박,1262,neg,
53,일본,1252,,
54,분석,1246,,
55,관련,1245,,
56,비트,1238,,
57,투자자,1228,-,
58,광풍,1181,neg,
59,시황,1158,,
60,유시민,1156,,
61,상승,1078,pos,
62,미래,1075,-,
63,문재인,1070,,
64,가능,1015,,
65,이야기,1000,,
66,정보,1000,,
67,요즘,980,,
68,결제,958,,
69,하락,936,neg,
70,이상,935,,
71,어디,921,,
72,기사,920,,
73,얘기,888,,
74,버블,863,neg,
75,하루,855,,
76,친구,849,,
77,그거,837,,
78,은행,837,,
79,금지,832,neg,
80,카드,820,,
81,거품,819,neg,
82,해킹,811,neg,
83,모네로,809,,
84,기자,796,,
85,열풍,791,-,
86,전망,791,,
87,대시,789,,
88,자기,788,,
89,게임,784,,
90,국가,780,,
91,국민,780,,
92,북한,775,,
93,국내,771,,
94,차트,767,,
95,수익,765,-,
96,이번,759,,
97,대박,753,pos,
98,관심,730,pos,
99,돌파,725,pos,
100,실시간,724,,
101,코인원,717,,
102,송금,711,,
103,나라,709,,
104,오타,709,,
105,개인,702,,
106,회사,701,,
107,처음,683,,
108,자금,675,,
109,비트코인골드,663,,
110,부동산,659,,
111,가상통화,658,,
112,다단계,654,neg,
113,방송,649,,
114,언론,648,,
115,얼마,648,,
116,상황,646,,
117,방법,645,,
118,대북,637,,
119,급락,634,neg,
120,산업,631,,
121,통화,631,,
122,업비트,627,,
123,인생,626,,
124,소리,625,,
125,자체,618,,
126,붕괴,614,neg,
127,인간,614,,
128,폐쇄,604,neg,
129,사고,603,-,
130,새끼,602,,
131,재산,581,,
132,토론,575,,
133,시발,574,,
134,세상,563,,
135,그때,558,,
136,수수료,555,,
137,계좌,552,,
138,한강,550,neg,
139,암호,549,,
140,상품,547,,
141,사회,546,,
142,정책,543,,
143,불법,542,neg,
144,시스템,542,,
145,다음,539,,
146,자산,536,,
147,광고,534,,
148,난리,534,neg,
149,언제,533,,
150,수단,526,,
151,컴퓨터,525,,
152,최근,523,,
153,아이,521,,
154,소요,515,,
155,여기,515,,
156,현실,514,,
157,세력,513,neg,
158,이오스,510,,
159,조금,510,,
160,대책,502,-,
161,발표,495,,
162,알트코인,494,,
163,시작,491,,
164,국제,488,,
165,인터넷,485,,
166,이후,481,,
167,최대,480,pos,
168,시대,476,,
169,튤립,476,neg,
170,전문가,474,,
171,과거,472,,
172,수준,471,,
173,사실,464,,
174,세금,461,,
175,로또,459,,
176,지갑,458,,
177,기업,457,,
178,플래티넘,457,,비트코인플래티넘
179,이해,454,,
180,소식,452,,
181,대통령,449,,
182,교수,448,,
183,대표,448,,
184,현재,447,,
185,그래픽,445,,
186,현금,444,,
187,김진,438,,
188,에이다,437,,
189,하시,437,,
190,올해,435,,
191,사이트,432,,
192,혁명,432,-,산업혁명
193,전면,430,,
194,느낌,428,,
195,갤러리,426,,
196,청와대,424,,
197,김정,422,,김정은
198,그래프,421,,
199,급등,420,pos,
200,제트캐시,417,,
201,개미,416,neg,
202,마음,411,,
203,필요,411,,
204,기준,409,,
205,손해,409,neg,
206,거기,407,,
207,댓글,403,,
208,위험,403,neg,
209,논란,401,neg,
210,전자,401,,
211,고등학생,400,,
212,사토시,397,,
213,수도,396,,
214,최고,395,pos,
215,제도,394,,
216,폭등,394,pos,
217,조작,393,neg,
218,트위터,391,,
219,정신,390,,
220,대한민국,389,,
221,네오,388,,
222,이슈,386,,
223,정권,383,,
224,범죄,382,neg,
225,세대,382,,
226,사건,377,neg,
227,의미,374,,
228,작년,373,,
229,업체,372,,
230,경고,369,neg,
231,절대,368,,
232,자신,360,,
233,금괴,358,,
234,기분,358,,
235,완전,358,,
236,정재승,356,,
237,안정,354,pos,불안정 - neg
238,우리나라,354,,
239,나중,349,,
240,사이,346,,
241,동안,345,,
242,피해,345,neg,
243,입장,343,,
244,서비스,341,,
245,실체,341,-,
246,사태,338,neg,
247,당신,336,,
248,대신,336,,
249,일부,336,,
250,예상,335,,
251,이름,335,,
252,영향,333,,
253,부자,332,,
254,올림픽,332,,
255,정치,331,,
256,경제학,329,,
257,규모,327,,
258,김치프리미엄,324,neg,
259,개념,323,,
260,상장,323,,
261,기반,322,,
262,존버,316,neg,
263,주변,316,,
264,일본인,314,,
265,기회,313,pos,
266,내용,313,,
267,조사,311,,
268,네이버,308,,
269,대부분,308,,
270,경우,307,,
271,네트워크,307,,
272,여러분,307,,
273,당국,306,,
274,상승세,305,pos,
275,정상,305,-,
276,원래,304,,
277,최저,304,,
278,예정,303,,
279,평창,303,,
280,현상,303,,
281,반대,302,,
282,예전,302,,
283,중앙,301,,
284,대하,299,,
285,진짜,297,,
286,페이스북,297,,
287,거래량,294,,
288,보안,293,-,
289,책임,292,neg,무책임
290,어치,290,,
291,확인,290,,
292,라인,289,,
293,전부,289,,
294,전체,289,,
295,회복,289,pos,
296,기능,288,,
297,이득,288,pos,
298,캐시,287,,
299,사용,286,,
300,거지,285,,
301,발행,285,,
302,방식,285,,
303,토막,285,,
304,바다이야기,284,,
305,순간,284,,
306,신규,284,,
307,타임,282,,
308,흐름,282,,
309,김정민,281,,
310,세탁,281,,
311,이익,281,pos,
312,엄마,280,,
313,역사,280,,
314,매수,279,pos,
315,장관,278,,
316,이제,277,,
317,작전,277,,
318,저거,277,,
319,주요,277,,
320,신용,275,,
321,아빠,275,,
322,개발,274,,
323,중앙은행,270,,
324,사업,269,,
325,실명,269,neg,실명제
326,오전,269,,
327,월급,269,,
328,추세,269,,
329,블록,267,,
330,구매,264,pos,
331,조원,264,,
332,상태,263,,
333,개발자,262,,
334,최초,261,,
335,유출,260,neg,
336,데이터,259,,
337,하드포크,259,-,
338,단일팀,257,,
339,본인,257,,
340,부분,257,,
341,대상,256,,
342,변동,256,-,
343,조정,256,-,
344,떡락,254,neg,
345,발언,253,,
346,제로,252,,
347,해커,252,neg,
348,내년,250,,
349,법무부,250,neg,
350,지지,249,,
351,기관,248,,
352,단기,248,,
353,디지털,248,,
354,마약,248,neg,
355,비결,248,,
356,아래,248,,
357,지지율,248,,
358,초기,247,,
359,자본,246,,
360,구조,245,,
361,증권,245,,
362,청년,245,,
363,매도,244,neg,
364,전문,244,,
365,중단,243,neg,
366,검토,242,-,
367,검색,241,,
368,박사,241,,
369,남자,239,,
370,설명,238,,
371,하락세,238,neg,
372,대비,237,,
373,도입,237,pos,
374,등장,237,,
375,금액,236,,
376,지원,236,pos,
377,마지막,234,,
378,반등,234,pos,
379,자유,234,,
380,전쟁,234,,
381,추가,233,,
382,글로벌,231,,
383,발전,231,pos,
384,실물,231,,
385,호재,231,pos,
386,공동,230,,
387,머니,230,,
388,서버,230,,
389,시점,230,,
390,영국,230,,
391,전기,230,,
392,관리,229,,
393,누군가,229,,
394,출시,229,,
395,성공,227,pos,
396,실제,227,,
397,위기,227,neg,
398,이틀,226,,
399,장기,226,,
400,돈세탁,225,neg,
401,요새,224,,
402,과세,223,neg,
403,머리,223,,
404,작가,223,,
405,대학생,222,,
406,관점,221,,
407,바닥,221,neg,
408,사면,221,,
409,영상,221,,
410,청원,221,,
411,코빗,221,,
412,매매,220,-,
413,전략,220,pos,
414,예측,219,,
415,원화,219,,
416,자연사,219,,
417,기존,218,,
418,모습,218,,
419,안철수,218,,
420,가짜,217,,
421,공부,217,,
422,공장,217,,
423,링크,217,,
424,가지,216,,
425,저것,216,,
426,정리,216,,
427,직원,216,,
428,한때,216,,
429,의견,215,,
430,강남,213,,
431,수저,213,,
432,아침,213,,
433,임금,212,,
434,프로그램,211,,
435,희망,211,pos,
436,계정,208,,
437,계획,208,,
438,공개,208,,
439,자료,208,,
440,펀드,208,,
441,폐지,208,neg,
442,당장,207,,
443,인정,207,pos,
444,박물관,206,,
445,이명박,206,,
446,자리,206,,
447,준비,206,,
448,추진,205,-,
449,증발,203,neg,
450,목적,201,,
451,보도,201,,
452,사이버,201,,
453,나카모토,200,,
454,재미,200,,
455,아저씨,199,,
456,장난,199,,
457,과열,198,neg,
458,노벨,198,,
459,단위,198,,
460,등급,198,,
461,쓰레기,198,,
462,애초,198,,
463,속도,197,,
464,오후,197,,
465,젊은이,197,,
466,충격,197,neg,
467,단타,196,,
468,기본,195,,
469,온라인,195,,
470,원인,195,,
471,모두,194,,
472,순위,194,,
473,차익,194,pos,
474,사진,193,,
475,그룹,192,,
476,대응,192,,
477,대접,192,,
478,등록금,192,,
479,서민,192,,
480,비용,191,,
481,추락,191,neg,
482,손실,190,neg,
483,여자,190,,
484,옛날,190,,
485,주가,190,,
486,차이,190,,
487,러시아,189,,
488,일확천금,189,neg,
489,과정,188,,
490,년도,188,,
491,물건,188,,
492,관계,187,,
493,보호,187,,
494,선생,187,,
495,대출,186,neg,
496,모바일,186,,
497,안보,186,,
498,주장,186,,
499,걱정,185,,
500,마켓,185,,
501,보유,185,,
502,수익률,185,-,
503,핵심,184,,
504,긴급,183,,
505,여론,183,,
506,가입,182,,
507,방향,182,,
508,사례,182,,
509,상대,182,,
510,안전,182,pos,안전성
511,플랫폼,182,,
512,지랄,181,,
513,프로,181,,
514,모양,180,,
515,은거,180,,
516,나한,179,,
517,제재,179,neg,
518,존재,179,,
519,문재,178,,?
520,의혹,178,neg,
521,당시,177,,
522,동생,177,,
523,긍정,176,pos,
524,세그윗,176,-,
525,시카고,176,,
