,nounFrame,Freq,label
1,비트코인,123,
2,화폐,11,
3,블록체인,10,
4,개론,7,
5,거래,7,
6,코인,7,
7,가상,6,
8,선물,6,
9,중국,6,
10,나카모토,5,
11,미국,5,
12,어디,5,
13,주식,5,
14,하드포크,5,
15,개발자,4,
16,방법,4,
17,부자,4,
18,사토시,4,
19,예상,4,
20,오늘,4,
21,이것,4,
22,이더리움,4,
23,일주일,4,
24,채굴,4,
25,검토,3,
26,경제,3,
27,골드만삭스,3,
28,금속,3,
29,기술,3,
30,달러,3,
31,도입,3,
32,비트코인캐시,3,
33,사이드카,3,
34,세그윗,3,
35,시장,3,
36,암호,3,
37,연금술,3,
38,장외,3,
39,전망,3,
40,정부,3,
41,죽지,3,
42,지갑,3,
43,카드,3,
44,현대,3,
45,가격,2,
46,가능,2,
47,가짜,2,
48,개새끼,2,
49,개인,2,
50,검거,2,
51,견해,2,
52,고민,2,
53,골드,2,
54,구별법,2,
55,그것,2,
56,그래픽,2,
57,넘버원,2,
58,대박,2,
59,대표,2,
60,리플,2,
61,보증,2,
62,북한,2,
63,분석,2,
64,비트,2,
65,사고,2,
66,사람,2,
67,사이버,2,
68,산업,2,
69,생각,2,
70,석숭,2,
71,시나리오,2,
72,신용,2,
73,아시아,2,
74,압박,2,
75,위안화,2,
76,유사,2,
77,일본,2,
78,정체,2,
79,조정,2,
80,중기,2,
81,지금,2,
82,초연,2,
83,추세,2,
84,취약점,2,
85,크레이그,2,
86,투자,2,
87,피자,2,
88,핵심,2,
89,혁명,2,
90,간편,1,
91,개설,1,
92,거래소,1,
93,거지,1,
94,게임,1,
95,결제,1,
96,경찰서,1,
97,계약,1,
98,고공,1,
99,공개,1,
100,공격,1,
101,공학자,1,
102,관계,1,
103,관련,1,
104,국내법,1,
105,귀인,1,
106,규제,1,
107,그거,1,
108,그때,1,
109,그룹,1,
110,그저께,1,
111,근처,1,
112,금일,1,
113,급증,1,
114,기간,1,
115,기단,1,
116,기록,1,
117,기준,1,
118,나노,1,
119,나발,1,
120,난리,1,
121,낭비,1,
122,년도,1,
123,노래방,1,
124,노스탤지어,1,
125,누구,1,
126,뉴스,1,
127,다중,1,
128,당근,1,
129,대결,1,
130,대국,1,
131,대란,1,
132,대부분,1,
133,대시,1,
134,대신,1,
135,대하,1,
136,도달,1,
137,도망,1,
138,등급,1,
139,라이트,1,
140,라이트코인,1,
141,랜섬,1,
142,랠리,1,
143,마수로,1,
144,마인드,1,
145,머니,1,
146,명목,1,
147,명품,1,
148,모네로,1,
149,무료,1,
150,무용지물,1,
151,문제,1,
152,미스,1,
153,발견,1,
154,방송,1,
155,방침,1,
156,버스,1,
157,보도,1,
158,보안,1,
159,보장,1,
160,복어,1,
161,본심,1,
162,불가,1,
163,빗썸,1,
164,사두,1,
165,사업가,1,
166,사이트,1,
167,삭스,1,
168,살수,1,
169,상관관계,1,
170,상당,1,
171,상사,1,
172,상점,1,
173,상품,1,
174,상황,1,
175,서명,1,
176,서쪽,1,
177,선라이즈,1,
178,세계,1,
179,세상,1,
180,소모,1,
181,소프트웨어,1,
182,송금,1,
183,쇼핑,1,
184,수사,1,
185,수신,1,
186,수익,1,
187,수호자,1,
188,스탭,1,
189,스티븐,1,
190,스폰서,1,
191,시계,1,
192,시기,1,
193,시세,1,
194,시작,1,
195,신식,1,
196,신중,1,
197,실물,1,
198,실체,1,
199,심장,1,
200,아내,1,
201,아들,1,
202,아무것,1,
203,암호화폐,1,
204,얘기,1,
205,얼마,1,
206,에스엠,1,
207,연일,1,
208,영국,1,
209,영리,1,
210,옛날,1,
211,오랜만,1,
212,오류,1,
213,오픈,1,
214,올래,1,
215,완전,1,
216,요동,1,
217,요즘,1,
218,우리,1,
219,울릉도,1,
220,월급,1,
221,월초,1,
222,웨어,1,
223,이름,1,
224,이번,1,
225,이상,1,
226,이유,1,
227,이제,1,
228,이혼,1,
229,이후,1,
230,익산,1,
231,인간,1,
232,인기,1,
233,일당,1,
234,일시,1,
235,자각,1,
236,자신,1,
237,장년,1,
238,재물,1,
239,재테크,1,
240,저거,1,
241,전자,1,
242,접속,1,
243,정보,1,
244,제트캐시,1,
245,조금,1,
246,조상,1,
247,조회,1,
248,주변,1,
249,준거,1,
250,지점,1,
251,직원,1,
252,진가,1,
253,질투,1,
254,집단,1,
255,차이,1,
256,참가,1,
257,천불,1,
258,청주,1,
259,체험,1,
260,초대,1,
261,초순,1,
262,최대,1,
263,추가,1,
264,출금,1,
265,컴퓨터,1,
266,쿠데타,1,
267,클럽,1,
268,토스,1,
269,통제,1,
270,통화,1,
271,투자사,1,
272,특이점,1,
273,특정,1,
274,틈새,1,
275,파동,1,
276,파생,1,
277,파커,1,
278,패리티,1,
279,팩트,1,
280,폭등,1,
281,프리미엄,1,
282,피해자,1,
283,하략,1,
284,하시,1,
285,학교,1,
286,한판,1,
287,해밀튼,1,
288,해외,1,
289,행진,1,
290,현금화,1,
291,현시,1,
292,형태,1,
293,호주,1,
294,호평,1,
295,확대,1,
296,흥진,1,
