pnu,price,year,
4.12203E+18,131000,2013,dh
4.12203E+18,134000,2013,dh
4.12203E+18,138000,2013,dh
4.12203E+18,233000,2013,dh
4.12203E+18,77000,2013,dh
4.12203E+18,119000,2013,dh
4.12203E+18,125000,2013,dh
4.12203E+18,160000,2013,dh
4.12203E+18,98000,2013,dh
4.12203E+18,270000,2013,dh
4.12203E+18,304000,2013,dh
4.12203E+18,232000,2013,dh
4.12203E+18,473000,2013,dh
4.12203E+18,299000,2013,dh
4.12203E+18,218000,2013,dh
4.12203E+18,138000,2013,dh
4.12203E+18,99000,2013,dh
4.12203E+18,259000,2013,dh
4.12203E+18,96000,2013,dh
4.12203E+18,78000,2013,dh
4.12203E+18,112000,2013,dh
4.12203E+18,237000,2013,dh
4.12203E+18,153000,2013,dh
4.12203E+18,83000,2013,dh
4.12203E+18,101000,2013,dh
4.12203E+18,89000,2013,dh
4.12203E+18,65000,2013,dh
4.12203E+18,273000,2013,dh
4.12203E+18,287000,2013,dh
4.12203E+18,82000,2013,dh
4.12203E+18,168000,2013,dh
4.12203E+18,126000,2013,dh
4.12203E+18,136000,2016,dh
4.12203E+18,144000,2016,dh
4.12203E+18,150000,2016,dh
4.12203E+18,258000,2016,dh
4.12203E+18,79000,2016,dh
4.12203E+18,132000,2016,dh
4.12203E+18,129000,2016,dh
4.12203E+18,164000,2016,dh
4.12203E+18,110000,2016,dh
4.12203E+18,329000,2016,dh
4.12203E+18,333000,2016,dh
4.12203E+18,252000,2016,dh
4.12203E+18,333000,2016,dh
4.12203E+18,514000,2016,dh
4.12203E+18,229000,2016,dh
4.12203E+18,144000,2016,dh
4.12203E+18,172000,2016,dh
4.12203E+18,107000,2016,dh
4.12203E+18,290000,2016,dh
4.12203E+18,100000,2016,dh
4.12203E+18,80500,2016,dh
4.12203E+18,125000,2016,dh
4.12203E+18,265000,2016,dh
4.12203E+18,142000,2016,dh
4.12203E+18,90000,2016,dh
4.12203E+18,103000,2016,dh
4.12203E+18,99000,2016,dh
4.12203E+18,298000,2016,dh
4.12203E+18,303000,2016,dh
4.12203E+18,302000,2016,dh
4.12203E+18,88000,2016,dh
4.12203E+18,140000,2016,dh
4.12203E+18,118000,2013,dr
4.12203E+18,161000,2013,dr
4.12203E+18,111000,2013,dr
4.12203E+18,248000,2013,dr
4.12203E+18,367000,2013,dr
4.12203E+18,263000,2013,dr
4.12203E+18,268000,2013,dr
4.12203E+18,148000,2013,dr
4.12203E+18,293000,2013,dr
4.12203E+18,74000,2013,dr
4.12203E+18,126000,2013,dr
4.12203E+18,84000,2013,dr
4.12203E+18,294000,2013,dr
4.12203E+18,126000,2013,dr
4.12203E+18,281000,2013,dr
4.12203E+18,69000,2013,dr
4.12203E+18,95000,2013,dr
4.12203E+18,108000,2013,dr
4.12203E+18,415000,2013,dr
4.12203E+18,66000,2013,dr
4.12203E+18,241000,2013,dr
4.12203E+18,84000,2013,dr
4.12203E+18,109000,2013,dr
4.12203E+18,265000,2013,dr
4.12203E+18,219000,2013,dr
4.12203E+18,162000,2013,dr
4.12203E+18,74000,2013,dr
4.12203E+18,253000,2013,dr
4.12203E+18,209000,2013,dr
4.12203E+18,126000,2013,dr
4.12203E+18,60000,2013,dr
4.12203E+18,291000,2013,dr
4.12203E+18,116000,2013,dr
4.12203E+18,216000,2013,dr
4.12203E+18,121000,2016,dr
4.12203E+18,165000,2016,dr
4.12203E+18,114000,2016,dr
4.12203E+18,273000,2016,dr
4.12203E+18,413000,2016,dr
4.12203E+18,286000,2016,dr
4.12203E+18,310000,2016,dr
4.12203E+18,159000,2016,dr
4.12203E+18,322000,2016,dr
4.12203E+18,76500,2016,dr
4.12203E+18,134000,2016,dr
4.12203E+18,90000,2016,dr
4.12203E+18,131000,2016,dr
4.12203E+18,465000,2016,dr
4.12203E+18,295000,2016,dr
4.12203E+18,75500,2016,dr
4.12203E+18,100000,2016,dr
4.12203E+18,80000,2016,dr
4.12203E+18,197000,2016,dr
4.12203E+18,332000,2016,dr
4.12203E+18,122000,2016,dr
