,pnu,price,year
0,4122033022100300000,121000,2016
1,4122033022100670000,165000,2016
2,4122033022100900001,114000,2016
3,4122033022101440003,273000,2016
4,4122033022101470001,413000,2016
5,4122033022101640002,286000,2016
6,4122033022101860004,310000,2016
7,4122033022101950000,159000,2016
8,4122033022102030007,322000,2016
9,4122033022102160002,76500,2016
10,4122033022102270000,134000,2016
11,4122033022102650000,90000,2016
12,4122033022103110000,131000,2016
13,4122033022103370005,465000,2016
14,4122033022103410001,295000,2016
15,4122033022103800000,75500,2016
16,4122033022103940000,100000,2016
17,4122033022104440000,80000,2016
18,4122033022107920016,197000,2016
19,4122033022107970005,332000,2016
20,4122033022200130000,122000,2016
