,일련번호,시군구,읍면동리,지번구분,본번지,부번지,시도명,시군구명,읍면,동리,지번,지목,면적,용도지역1,용도지역2,이용상황,주위환경,지세명,형상명,도로교통,공시지가,지리적위치1,지리적위치2
107362,1,41220,10100,1,2,6,경기도,평택시,,서정동,02월 06일,대,389.0,제1종일반주거지역,,다세대,정비된 주택지대,평지,사다리형,소로한면,860000,송탄여중고교,서측 인근
107363,2,41220,10100,1,40,12,경기도,평택시,,서정동,Dec-40,대,338.0,제1종일반주거지역,,다세대,기존 주택지대,평지,정방형,소로한면,885000,한국통신,동측인근
107364,3,41220,10100,1,48,2,경기도,평택시,,서정동,Feb-48,대,146.0,일반상업지역,,단독주택,미성숙 주택지대,평지,사다리형,소로한면,1000000,포스코더샾아파트,서측 인근
107365,4,41220,10100,1,53,0,경기도,평택시,,서정동,53,대,268.0,일반상업지역,,단독주택,기존 주택지대,평지,부정형,소로한면,1000000,포스코더샾아파트,서측 인근
107366,5,41220,10100,1,65,18,경기도,평택시,,서정동,65-18,대,215.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),900000,포스코더샾 아파트,서측인근
107367,6,41220,10100,1,74,1,경기도,평택시,,서정동,Jan-74,대,403.0,일반상업지역,,다세대,기존 주택지대,평지,세로장방형,세각(가),980000,포스코더샾아파트,서측 인근
107368,7,41220,10100,1,77,1,경기도,평택시,,서정동,Jan-77,대,160.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,소로한면,990000,한국통신,남동측 인근
107369,8,41220,10100,1,78,6,경기도,평택시,,서정동,Jun-78,대,298.0,제1종일반주거지역,,주상용,주택 및 상가혼용지대,평지,세로장방형,중로각지,1180000,한국통신,남측도로변
107370,9,41220,10100,1,85,24,경기도,평택시,,서정동,85-24,대,206.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,정방형,소로한면,930000,한국통신,동측인근
107371,10,41220,10100,1,159,5,경기도,평택시,,서정동,159-5,대,434.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),810000,송탄출장소,남서측인근
107372,11,41220,10100,1,207,2,경기도,평택시,,서정동,207-2,대,155.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(불),695000,서정리초등학교,북측인근
107373,12,41220,10100,1,230,10,경기도,평택시,,서정동,230-10,대,158.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),791000,서정리초등학교,북서측인근
107374,13,41220,10100,1,261,5,경기도,평택시,,서정동,261-5,대,231.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),750000,서정리초등학교,동측 인근
107375,14,41220,10100,1,271,7,경기도,평택시,,서정동,271-7,대,169.0,준주거지역,,상업용,후면 상가지대,평지,사다리형,소로각지,1490000,서정리초등학교,남측인근
107376,15,41220,10100,1,281,9,경기도,평택시,,서정동,281-9,대,471.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,부정형,세로(가),820000,서정리초등학교,북측인근
107377,16,41220,10100,1,284,12,경기도,평택시,,서정동,284-12,대,176.0,준주거지역,,상업용,기존 상가지대,평지,가로장방형,중로한면,1450000,서정리초등학교,동측인근
107378,17,41220,10100,1,285,24,경기도,평택시,,서정동,285-24,대,134.0,준주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),950000,서정리초등학교,북동측인근
107379,18,41220,10100,1,287,1,경기도,평택시,,서정동,287-1,대,377.0,제1종일반주거지역,,주상용,노선 상가지대,평지,사다리형,중로한면,1380000,롯데캐슬아파트,서쪽인근
107380,19,41220,10100,1,296,1,경기도,평택시,,서정동,296-1,대,261.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,부정형,소로한면,910000,서정리초등학교,서측 인근
107381,20,41220,10100,1,298,4,경기도,평택시,,서정동,298-4,대,215.0,제1종일반주거지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),750000,서정리초등학교,북서측 인근
107382,21,41220,10100,1,303,2,경기도,평택시,,서정동,303-2,대,342.0,일반상업지역,,주상용,주택 및 상가혼용지대,평지,사다리형,소로각지,1540000,서정리초등학교,북서측인근
107383,22,41220,10100,1,303,8,경기도,평택시,,서정동,303-8,대,251.0,일반상업지역,,단독주택,기존 주택지대,평지,사다리형,세로(가),980000,서정리초등학교,북서측 인근
107384,23,41220,10100,1,305,11,경기도,평택시,,서정동,305-11,대,83.0,일반상업지역,,주상용,노선 상가지대,평지,세로장방형,중로한면,2640000,서정리역,북측인근
107385,24,41220,10100,1,308,9,경기도,평택시,,서정동,308-9,대,127.0,일반상업지역,,주상용,노선 상가지대,평지,사다리형,중로각지,3260000,서정동시장,북측국도변
107386,25,41220,10100,1,310,3,경기도,평택시,,서정동,310-3,대,292.0,준주거지역,,단독주택,기존 주택지대,평지,사다리형,소로한면,1150000,서정초등학교,서측인근
107387,26,41220,10100,1,317,16,경기도,평택시,,서정동,317-16,대,253.0,일반상업지역,,주상용,시장주변 상가지대,평지,부정형,소로한면,2710000,서정동시장내,
107388,27,41220,10100,1,317,46,경기도,평택시,,서정동,317-46,대,83.0,일반상업지역,,상업용,역주변 상가지대,평지,사다리형,세로(불),1940000,서정리역사,동측 인근
107389,28,41220,10100,1,317,58,경기도,평택시,,서정동,317-58,대,176.0,일반상업지역,,주상용,시장주변 상가지대,평지,사다리형,소로한면,2810000,서정리역,북동측인근
107390,29,41220,10100,1,317,118,경기도,평택시,,서정동,317-118,대,176.0,일반상업지역,,상업용,시장주변 상가지대,평지,부정형,세로(불),1550000,서정리역,동측 인근
107391,30,41220,10100,1,318,14,경기도,평택시,,서정동,318-14,대,122.0,일반상업지역,,상업용,노선 상가지대,평지,부정형,중로각지,4110000,서정리역,동측도로변
107392,31,41220,10100,1,328,9,경기도,평택시,,서정동,328-9,대,203.0,준주거지역,,상업용,노선 상가지대,평지,사다리형,중로한면,3060000,서정리초등학교,서측인근
107393,32,41220,10100,1,335,20,경기도,평택시,,서정동,335-20,대,188.0,일반상업지역,,주상용,기존 주택지대,평지,가로장방형,소로한면,2690000,서정동성당,북측인근
107394,33,41220,10100,1,335,35,경기도,평택시,,서정동,335-35,대,145.0,일반상업지역,,단독주택,일반 주택지대,평지,사다리형,세로(가),1450000,서정리역,남동측인근
107395,34,41220,10100,1,343,18,경기도,평택시,,서정동,343-18,대,133.0,일반상업지역,,상업용,미성숙 상가지대,평지,사다리형,중로한면,1970000,중앙동주민센터,동남측인근
