,address,price,year
0,경기도 평택시 서정동,740000,2013
1,경기도 평택시 서정동,720000,2013
2,경기도 평택시 서정동,720000,2013
3,경기도 평택시 서정동,730000,2013
4,경기도 평택시 서정동,720000,2013
5,경기도 평택시 서정동,840000,2013
6,경기도 평택시 서정동,680000,2013
7,경기도 평택시 서정동,700000,2013
8,경기도 평택시 서정동,1180000,2013
9,경기도 평택시 서정동,725000,2013
10,경기도 평택시 서정동,700000,2013
11,경기도 평택시 서정동,610000,2013
12,경기도 평택시 서정동,680000,2013
13,경기도 평택시 서정동,720000,2013
14,경기도 평택시 서정동,710000,2013
15,경기도 평택시 서정동,1400000,2013
16,경기도 평택시 서정동,720000,2013
17,경기도 평택시 서정동,750000,2013
18,경기도 평택시 서정동,695000,2013
19,경기도 평택시 서정동,1370000,2013
20,경기도 평택시 서정동,785000,2013
21,경기도 평택시 서정동,2280000,2013
22,경기도 평택시 서정동,3240000,2013
23,경기도 평택시 서정동,940000,2013
24,경기도 평택시 서정동,2640000,2013
25,경기도 평택시 서정동,1980000,2013
26,경기도 평택시 서정동,2790000,2013
27,경기도 평택시 서정동,4360000,2013
28,경기도 평택시 서정동,3370000,2013
29,경기도 평택시 서정동,2600000,2013
30,경기도 평택시 서정동,1120000,2013
31,경기도 평택시 서정동,2100000,2013
32,경기도 평택시 서정동,1610000,2013
33,경기도 평택시 서정동,595000,2013
34,경기도 평택시 서정동,231000,2013
35,경기도 평택시 서정동,814000,2013
36,경기도 평택시 서정동,636000,2013
37,경기도 평택시 서정동,506000,2013
38,경기도 평택시 서정동,2940000,2013
39,경기도 평택시 서정동,226000,2013
40,경기도 평택시 서정동,626000,2013
41,경기도 평택시 서정동,595000,2013
42,경기도 평택시 서정동,555000,2013
43,경기도 평택시 서정동,218000,2013
44,경기도 평택시 서정동,468000,2013
45,경기도 평택시 서정동,750000,2013
46,경기도 평택시 서정동,1090000,2013
47,경기도 평택시 서정동,575000,2013
48,경기도 평택시 서정동,256000,2013
49,경기도 평택시 서정동,580000,2013
50,경기도 평택시 서정동,820000,2013
51,경기도 평택시 서정동,231000,2013
52,경기도 평택시 서정동,490000,2013
53,경기도 평택시 서정동,580000,2013
54,경기도 평택시 서정동,1320000,2013
55,경기도 평택시 서정동,900000,2013
56,경기도 평택시 서정동,570000,2013
57,경기도 평택시 서정동,580000,2013
58,경기도 평택시 서정동,590000,2013
59,경기도 평택시 서정동,610000,2013
60,경기도 평택시 서정동,600000,2013
61,경기도 평택시 서정동,950000,2013
62,경기도 평택시 서정동,1000000,2013
63,경기도 평택시 서정동,570000,2013
64,경기도 평택시 서정동,840000,2013
65,경기도 평택시 서정동,600000,2013
66,경기도 평택시 서정동,435000,2013
67,경기도 평택시 서정동,256000,2013
68,경기도 평택시 서정동,376000,2013
69,경기도 평택시 서정동,700000,2013
70,경기도 평택시 서정동,570000,2013
71,경기도 평택시 서정동,555000,2013
72,경기도 평택시 서정동,580000,2013
73,경기도 평택시 서정동,720000,2013
74,경기도 평택시 서정동,630000,2013
75,경기도 평택시 서정동,615000,2013
76,경기도 평택시 서정동,710000,2013
77,경기도 평택시 서정동,570000,2013
78,경기도 평택시 서정동,620000,2013
79,경기도 평택시 서정동,875000,2013
80,경기도 평택시 서정동,550000,2013
81,경기도 평택시 서정동,570000,2013
82,경기도 평택시 서정동,780000,2013
83,경기도 평택시 서정동,720000,2013
84,경기도 평택시 서정동,810000,2013
85,경기도 평택시 서정동,620000,2013
86,경기도 평택시 서정동,800000,2013
87,경기도 평택시 서정동,660000,2013
88,경기도 평택시 서정동,710000,2013
89,경기도 평택시 서정동,820000,2013
90,경기도 평택시 서정동,590000,2013
91,경기도 평택시 서정동,535000,2013
92,경기도 평택시 서정동,710000,2013
93,경기도 평택시 서정동,680000,2013
94,경기도 평택시 서정동,540000,2013
95,경기도 평택시 서정동,226000,2013
96,경기도 평택시 서정동,191000,2013
97,경기도 평택시 서정동,505000,2013
98,경기도 평택시 서정동,510000,2013
99,경기도 평택시 서정동,645000,2013
100,경기도 평택시 서정동,231000,2013
101,경기도 평택시 서정동,716000,2013
102,경기도 평택시 서정동,256000,2013
103,경기도 평택시 서정동,231000,2013
104,경기도 평택시 서정동,705000,2013
105,경기도 평택시 서정동,492000,2013
106,경기도 평택시 서정동,231000,2013
107,경기도 평택시 서정동,472000,2013
108,경기도 평택시 서정동,600000,2013
109,경기도 평택시 서정동,540000,2013
110,경기도 평택시 서정동,720000,2013
111,경기도 평택시 서정동,750000,2013
112,경기도 평택시 서정동,1400000,2013
113,경기도 평택시 서정동,1020000,2013
114,경기도 평택시 서정동,2830000,2013
115,경기도 평택시 서정동,1910000,2013
116,경기도 평택시 서정동,1590000,2013
117,경기도 평택시 서정동,1580000,2013
118,경기도 평택시 서정동,1490000,2013
119,경기도 평택시 서정동,750000,2013
120,경기도 평택시 서정동,1610000,2013
121,경기도 평택시 서정동,1680000,2013
122,경기도 평택시 서정동,760000,2013
123,경기도 평택시 서정동,730000,2013
124,경기도 평택시 서정동,1060000,2013
125,경기도 평택시 서정동,3820000,2013
126,경기도 평택시 서정동,2850000,2013
127,경기도 평택시 서정동,2350000,2013
128,경기도 평택시 서정동,1670000,2013
129,경기도 평택시 서정동,1980000,2013
130,경기도 평택시 서정동,1540000,2013
131,경기도 평택시 서정동,1770000,2013
132,경기도 평택시 서정동,1340000,2013
133,경기도 평택시 서정동,3100000,2013
134,경기도 평택시 서정동,1550000,2013
135,경기도 평택시 서정동,1090000,2013
136,경기도 평택시 서정동,710000,2013
137,경기도 평택시 서정동,1430000,2013
138,경기도 평택시 서정동,860000,2013
139,경기도 평택시 서정동,710000,2013
140,경기도 평택시 서정동,970000,2013
141,경기도 평택시 서정동,990000,2013
142,경기도 평택시 서정동,680000,2013
143,경기도 평택시 서정동,845000,2013
144,경기도 평택시 서정동,720000,2013
145,경기도 평택시 서정동,1730000,2013
146,경기도 평택시 서정동,1050000,2013
147,경기도 평택시 서정동,1610000,2013
148,경기도 평택시 서정동,825000,2013
149,경기도 평택시 서정동,1690000,2013
150,경기도 평택시 서정동,3250000,2013
151,경기도 평택시 서정동,1090000,2013
152,경기도 평택시 서정동,700000,2013
153,경기도 평택시 서정동,700000,2013
154,경기도 평택시 서정동,1460000,2013
155,경기도 평택시 서정동,710000,2013
156,경기도 평택시 서정동,710000,2013
157,경기도 평택시 서정동,820000,2013
158,경기도 평택시 서정동,690000,2013
159,경기도 평택시 서정동,1120000,2013
160,경기도 평택시 서정동,700000,2013
161,경기도 평택시 서정동,720000,2013
162,경기도 평택시 서정동,1040000,2013
163,경기도 평택시 서정동,930000,2013
164,경기도 평택시 서정동,800000,2013
165,경기도 평택시 서정동,720000,2013
166,경기도 평택시 서정동,720000,2013
167,경기도 평택시 서정동,940000,2013
168,경기도 평택시 서정동,1110000,2013
169,경기도 평택시 서정동,720000,2013
170,경기도 평택시 서정동,1530000,2013
171,경기도 평택시 서정동,934000,2013
172,경기도 평택시 서정동,530000,2013
173,경기도 평택시 서정동,540000,2013
174,경기도 평택시 서정동,1560000,2013
175,경기도 평택시 서정동,1610000,2013
176,경기도 평택시 서정동,865000,2013
177,경기도 평택시 서정동,70000,2013
178,경기도 평택시 서정동,196000,2013
179,경기도 평택시 서정동,166000,2013
180,경기도 평택시 서정동,62000,2013
181,경기도 평택시 서정동,226000,2013
182,경기도 평택시 서정동,191000,2013
183,경기도 평택시 서정동,71000,2013
184,경기도 평택시 장당동,75000,2013
185,경기도 평택시 장당동,230000,2013
186,경기도 평택시 장당동,1090000,2013
187,경기도 평택시 장당동,560000,2013
188,경기도 평택시 장당동,166000,2013
189,경기도 평택시 장당동,415000,2013
190,경기도 평택시 장당동,146000,2013
191,경기도 평택시 장당동,180000,2013
192,경기도 평택시 장당동,600000,2013
193,경기도 평택시 장당동,171000,2013
194,경기도 평택시 장당동,840000,2013
195,경기도 평택시 장당동,136000,2013
196,경기도 평택시 장당동,382000,2013
197,경기도 평택시 장당동,216000,2013
198,경기도 평택시 장당동,145000,2013
199,경기도 평택시 장당동,219000,2013
200,경기도 평택시 장당동,445000,2013
201,경기도 평택시 장당동,194000,2013
202,경기도 평택시 장당동,191000,2013
203,경기도 평택시 장당동,239000,2013
204,경기도 평택시 장당동,408000,2013
